Komoditas,Tahun,Luas Lahan Panen,Produksi
Bawang Merah,2005,0,0
Bawang Merah,2006,0,0
Bawang Merah,2007,0,0
Bawang Merah,2008,0,0.083
Bawang Merah,2009,0,0
Bawang Merah,2010,0,0
Bawang Merah,2011,0,0
Bawang Merah,2012,18,0
Bawang Merah,2013,18,0
Bawang Merah,2014,18,0
Bawang Merah,2015,0,3.947
Bawang Merah,2016,39,8.771
Bawang Merah,2017,76,120.42
Bawang Merah,2018,95,11.44
Bawang Merah,2019,140,18.15
Bawang Merah,2020,328,34.704
Bawang Merah,2021,1296,139.862
Bawang Merah,2022,436,49.11
Bawang Merah,2023,321,0.038895
Buncis,2005,144,8.068
Buncis,2006,74,4.547
Buncis,2007,71,3.362
Buncis,2008,92,9.38
Buncis,2009,55,1.306
Buncis,2010,46,1.092
Buncis,2011,46,0.813
Buncis,2012,61,1.158
Buncis,2013,61,8.126
Buncis,2014,61,8.07
Buncis,2015,60,6.659
Buncis,2016,110,7.931
Buncis,2017,68,9.139
Buncis,2018,93,12.067
Buncis,2019,110,17.805
Buncis,2020,83,20.295
Buncis,2021,114,37.359
Buncis,2022,138,40.008
Buncis,2023,123,48.116
Cabai Besar,2005,439,4.571
Cabai Besar,2006,2044,49.393
Cabai Besar,2007,2972,40.912
Cabai Besar,2008,2044,82.977
Cabai Besar,2009,745,8.979
Cabai Besar,2010,862,10.149
Cabai Besar,2011,859,11.507
Cabai Besar,2012,919,8.354
Cabai Besar,2013,919,15.068
Cabai Besar,2014,199,203.277
Cabai Besar,2015,313,194.75
Cabai Besar,2016,2,196.868
Cabai Besar,2017,3,195.419
Cabai Besar,2018,3457,191.526
Cabai Besar,2019,1387,177.549
Cabai Besar,2020,1038,114.923
Cabai Besar,2021,663,71.063
Cabai Besar,2022,305,29.399
Cabai Besar,2023,370,0.040943
Cabai Rawit,2005,2007,8.531
Cabai Rawit,2006,447,85.266
Cabai Rawit,2007,442,55.868
Cabai Rawit,2008,447,94.946
Cabai Rawit,2009,4750,25.397
Cabai Rawit,2010,4084,21.836
Cabai Rawit,2011,3447,10.188
Cabai Rawit,2012,6005,23.085
Cabai Rawit,2013,6005,10.875
Cabai Rawit,2014,6,346.466
Cabai Rawit,2015,313,310.279
Cabai Rawit,2016,20,788.85
Cabai Rawit,2017,7877,808.527
Cabai Rawit,2018,11044,718.13
Cabai Rawit,2019,11024,1503.782
Cabai Rawit,2020,10745,1881.377
Cabai Rawit,2021,10013,713.37
Cabai Rawit,2022,10300,0.790133
Cabai Rawit,2023,9.881,0.441909
Jagung,2005,44118,273.603
Jagung,2006,4115,244.292
Jagung,2007,39826,236.6
Jagung,2008,48941,303.202
Jagung,2009,48197,306.349
Jagung,2010,46594,303.726
Jagung,2011,40395,237.203
Jagung,2012,40395,240.295
Jagung,2013,47630,159.737
Jagung,2014,49636,307.769
Jagung,2015,56410,342.817
Jagung,2016,50462,172.516
Jagung,2017,52099,320.544
Jagung,2018,56978,350.818
Jagung,2019,59276,3918.06
Jagung,2020,60071,401.44
Jagung,2021,48028,3247.668
Jagung,2022,50236,3086.119
Jagung,2023,42.119,2445.882
Kacang Panjang,2005,433,3.231
Kacang Panjang,2006,344,25.834
Kacang Panjang,2007,519,26.309
Kacang Panjang,2008,344,74.488
Kacang Panjang,2009,535,10.738
Kacang Panjang,2010,368,7.185
Kacang Panjang,2011,224,3.603
Kacang Panjang,2012,299,4.708
Kacang Panjang,2013,299,36.032
Kacang Panjang,2014,229,63.287
Kacang Panjang,2015,313,45.019
Kacang Panjang,2016,518,42.534
Kacang Panjang,2017,507,35.915
Kacang Panjang,2018,200,37.901
Kacang Panjang,2019,255,48.472
Kacang Panjang,2020,193,28.488
Kacang Panjang,2021,187,27.745
Kacang Panjang,2022,178,25.48
Kacang Panjang,2023,152,0.026161
Kacang Tanah,2005,6381,4.497
Kacang Tanah,2006,5864,5.838
Kacang Tanah,2007,5121,5.075
Kacang Tanah,2008,7968,8.879
Kacang Tanah,2009,6121,7.198
Kacang Tanah,2010,6899,6.899
Kacang Tanah,2011,5850,6.259
Kacang Tanah,2012,5850,6.785
Kacang Tanah,2013,5850,5.096
Kacang Tanah,2014,4551,5.347
Kacang Tanah,2015,4798,5.347
Kacang Tanah,2016,4828,4.768
Kacang Tanah,2017,5220,60.521
Kacang Tanah,2018,5448,6.39
Kacang Tanah,2019,4572,63.908
Kacang Tanah,2020,1193,11.671
Kacang Tanah,2021,905,10.081
Kacang Tanah,2022,1041,11.033
Kacang Tanah,2023,856,9.925
Kedelai,2005,10823,9.503
Kedelai,2006,1091,10.629
Kedelai,2007,11529,10.502
Kedelai,2008,11592,11.908
Kedelai,2009,11.459,12.731
Kedelai,2010,11.003,10.838
Kedelai,2011,11098,11.564
Kedelai,2012,11098,12.386
Kedelai,2013,10338,12.147
Kedelai,2014,10696,16.597
Kedelai,2015,11473,16.597
Kedelai,2016,8399,12.362
Kedelai,2017,7000,9.055
Kedelai,2018,7563,10.156
Kedelai,2019,10514,149.593
Kedelai,2020,4572,67.243
Kedelai,2021,3610,46.93
Kedelai,2022,3141,43.04
Kedelai,2023,5261,72.534
Kentang,2005,0,0
Kentang,2006,15,1.335
Kentang,2007,20,2.925
Kentang,2008,11,3.128
Kentang,2009,51,0.349
Kentang,2010,10,1.032
Kentang,2011,46,0.918
Kentang,2012,46,0.655
Kentang,2013,46,9.184
Kentang,2014,46,8.531
Kentang,2015,65,16.871
Kentang,2016,30,5.112
Kentang,2017,20,4.31
Kentang,2018,16,3.35
Kentang,2019,36,8.27
Kentang,2020,51,10.61
Kentang,2021,83,13.659
Kentang,2022,38,6.94
Kentang,2023,36,6.7
Ketela Pohon,2005,3974,71.687
Ketela Pohon,2006,3776,52.131
Ketela Pohon,2007,3347,41.832
Ketela Pohon,2008,3248,45.381
Ketela Pohon,2009,3441,44.977
Ketela Pohon,2010,3679,54.496
Ketela Pohon,2011,4225,89.554
Ketela Pohon,2012,4225,95.417
Ketela Pohon,2013,2726,61.663
Ketela Pohon,2014,4065,43.396
Ketela Pohon,2015,3570,100.758
Ketela Pohon,2016,4156,92.961
Ketela Pohon,2017,3388,76.157
Ketela Pohon,2018,3982,89.26
Ketela Pohon,2019,4465,1219.022
Ketela Pohon,2020,3344,756.81
Ketela Pohon,2021,3280,739.01
