year,temperature,humidity,rainfall,category,label
2021,23.9,89.1,373.0,holti,Cabai Rawit
2021,23.8,89.1,367.0,holti,Cabai Rawit
2021,24.8,85.3,378.0,holti,Cabai Rawit
2021,25.5,79.9,193.0,holti,Cabai Rawit
2021,25.9,80.2,380.0,holti,Cabai Rawit
2021,25.4,82.3,175.0,holti,Cabai Rawit
2021,25.7,71.0,2.0,holti,Cabai Rawit
2021,26.6,69.8,8.0,holti,Cabai Rawit
2021,26.8,69.7,100.0,holti,Cabai Rawit
2021,27.5,70.5,17.0,holti,Cabai Rawit
2021,25.0,85.8,100.0,holti,Cabai Rawit
2021,25.2,86.1,223.0,holti,Cabai Rawit
2022,24.8,84.1,292.0,holti,Cabai Rawit
2022,24.5,85.5,298.0,holti,Cabai Rawit
2022,25.1,85.9,359.0,holti,Cabai Rawit
2022,25.5,82.8,190.0,holti,Cabai Rawit
2022,25.8,82.9,209.0,holti,Cabai Rawit
2022,25.4,81.4,209.0,holti,Cabai Rawit
2022,25.6,76.8,14.0,holti,Cabai Rawit
2022,25.8,74.2,43.0,holti,Cabai Rawit
2022,26.7,70.4,37.0,holti,Cabai Rawit
2022,25.2,83.4,324.0,holti,Cabai Rawit
2022,24.9,85.2,407.0,holti,Cabai Rawit
2022,24.9,83.5,267.0,holti,Cabai Rawit
2023,23.5,85.6,217.23,holti,Cabai Rawit
2023,23.0,88.0,391.38,holti,Cabai Rawit
2023,23.5,84.8,33.65,holti,Cabai Rawit
2023,23.8,86.3,173.91,holti,Cabai Rawit
2023,23.9,79.5,72.0,holti,Cabai Rawit
2023,24.1,77.2,5.39,holti,Cabai Rawit
2023,23.7,72.6,6.0,holti,Cabai Rawit
2023,23.9,68.5,0.0,holti,Cabai Rawit
2023,24.6,66.1,0.27,holti,Cabai Rawit
2023,26.1,65.8,1.42,holti,Cabai Rawit
2023,25.8,75.7,55.77,holti,Cabai Rawit
2023,24.9,80.2,73.75,holti,Cabai Rawit
