year,temperature,humidity,rainfall,category,label,region
2020,26.7,80.7,234.0,holti,Bawang Merah,Banyuwangi
2020,26.7,80.7,234.0,holti,Cabai Rawit,Banyuwangi
2020,26.7,80.7,234.0,holti,Melon,Banyuwangi
2020,26.7,80.7,234.0,holti,Tomat,Banyuwangi
2021,23.4,88.8,216.1,holti,Bawang Merah,Banyuwangi
2021,23.4,88.8,216.1,holti,Cabai Rawit,Banyuwangi
2021,23.4,88.8,216.1,holti,Melon,Banyuwangi
2021,23.4,88.8,216.1,holti,Tomat,Banyuwangi
2022,26.2,89.1,353.5,holti,Bawang Merah,Banyuwangi
2022,26.2,89.1,353.5,holti,Cabai Rawit,Banyuwangi
2022,26.2,89.1,353.5,holti,Melon,Banyuwangi
2022,26.2,89.1,353.5,holti,Tomat,Banyuwangi
2023,26.9,80.7,370.9,holti,Bawang Merah,Banyuwangi
2023,26.9,80.7,370.9,holti,Cabai Rawit,Banyuwangi
2023,26.9,80.7,370.9,holti,Tomat,Banyuwangi
