year,temperature,humidity,rainfall,category,label,region
2020,25.8,79.6,227.7,holti,Bawang Merah,Tuban
2020,25.8,79.6,227.7,holti,Cabai Rawit,Tuban
2020,25.8,79.6,227.7,holti,Melon,Tuban
2020,25.8,79.6,227.7,holti,Tomat,Tuban
2021,27.0,73.7,102.6,holti,Bawang Merah,Tuban
2021,27.0,73.7,102.6,holti,Cabai Rawit,Tuban
2021,27.0,73.7,102.6,holti,Melon,Tuban
2021,27.0,73.7,102.6,holti,Tomat,Tuban
2022,28.1,76.6,264.3,holti,Bawang Merah,Tuban
2022,28.1,76.6,264.3,holti,Cabai Rawit,Tuban
2022,28.1,76.6,264.3,holti,Melon,Tuban
2022,28.1,76.6,264.3,holti,Tomat,Tuban
2023,26.0,74.4,192.3,holti,Bawang Merah,Tuban
2023,26.0,74.4,192.3,holti,Cabai Rawit,Tuban
2023,26.0,74.4,192.3,holti,Melon,Tuban
2023,26.0,74.4,192.3,holti,Tomat,Tuban
