year,temperature,humidity,rainfall,category,label,region
2020,26.7,80.7,234.0,pangan,Jagung,Banyuwangi
2020,26.7,80.7,234.0,pangan,Kacang Hijau,Banyuwangi
2020,26.7,80.7,234.0,pangan,Padi,Banyuwangi
2020,26.7,80.7,234.0,pangan,Ubi Kayu,Banyuwangi
2021,23.4,88.8,216.1,pangan,Jagung,Banyuwangi
2021,23.4,88.8,216.1,pangan,Kacang Hijau,Banyuwangi
2021,23.4,88.8,216.1,pangan,Padi,Banyuwangi
2021,23.4,88.8,216.1,pangan,Ubi Kayu,Banyuwangi
2022,26.2,89.1,353.5,pangan,Jagung,Banyuwangi
2022,26.2,89.1,353.5,pangan,Kacang Hijau,Banyuwangi
2022,26.2,89.1,353.5,pangan,Padi,Banyuwangi
2022,26.2,89.1,353.5,pangan,Ubi Kayu,Banyuwangi
2023,26.9,80.7,370.9,pangan,Jagung,Banyuwangi
2023,26.9,80.7,370.9,pangan,Kacang Hijau,Banyuwangi
2023,26.9,80.7,370.9,pangan,Padi,Banyuwangi
2023,26.9,80.7,370.9,pangan,Ubi Kayu,Banyuwangi
