year,temperature,humidity,rainfall,category,label
2018,25.3,86.0,309.0,pangan,Padi
2018,25.3,86.0,309.0,pangan,Jagung
2018,25.3,86.0,309.0,pangan,Ketela Pohon
2018,25.4,85.0,396.0,pangan,Padi
2018,25.4,85.0,396.0,pangan,Jagung
2018,25.4,85.0,396.0,pangan,Ketela Pohon
2018,26.0,84.0,206.0,pangan,Padi
2018,26.0,84.0,206.0,pangan,Jagung
2018,26.0,84.0,206.0,pangan,Ketela Pohon
2018,26.7,80.0,118.0,pangan,Padi
2018,26.7,80.0,118.0,pangan,Jagung
2018,26.7,80.0,118.0,pangan,Ketela Pohon
2018,25.9,78.0,23.0,pangan,Padi
2018,25.9,78.0,23.0,pangan,Jagung
2018,25.9,78.0,23.0,pangan,Ketela Pohon
2018,25.0,80.0,77.0,pangan,Padi
2018,25.0,80.0,77.0,pangan,Jagung
2018,25.0,80.0,77.0,pangan,Ketela Pohon
2018,24.1,78.0,4.0,pangan,Padi
2018,24.1,78.0,4.0,pangan,Jagung
2018,24.1,78.0,4.0,pangan,Ketela Pohon
2018,24.1,76.0,1.0,pangan,Padi
2018,24.1,76.0,1.0,pangan,Jagung
2018,24.1,76.0,1.0,pangan,Ketela Pohon
2018,25.4,75.0,4.0,pangan,Padi
2018,25.4,75.0,4.0,pangan,Jagung
2018,25.4,75.0,4.0,pangan,Ketela Pohon
2018,26.5,75.0,1.0,pangan,Padi
2018,26.5,75.0,1.0,pangan,Jagung
2018,26.5,75.0,1.0,pangan,Ketela Pohon
2018,26.4,82.0,262.0,pangan,Padi
2018,26.4,82.0,262.0,pangan,Jagung
2018,26.4,82.0,262.0,pangan,Ketela Pohon
2018,26.0,86.0,263.0,pangan,Padi
2018,26.0,86.0,263.0,pangan,Jagung
2018,26.0,86.0,263.0,pangan,Ketela Pohon
2019,25.9,86.0,426.0,pangan,Padi
2019,25.9,86.0,426.0,pangan,Jagung
2019,26.0,86.0,193.0,pangan,Padi
2019,26.0,86.0,193.0,pangan,Jagung
2019,25.6,87.0,443.0,pangan,Padi
2019,25.6,87.0,443.0,pangan,Jagung
2019,26.3,84.0,203.0,pangan,Padi
2019,26.3,84.0,203.0,pangan,Jagung
2019,26.1,79.0,2.0,pangan,Padi
2019,26.1,79.0,2.0,pangan,Jagung
2019,24.3,79.0,0.0,pangan,Padi
2019,24.3,79.0,0.0,pangan,Jagung
2019,23.8,78.0,0.0,pangan,Padi
2019,23.8,78.0,0.0,pangan,Jagung
2019,24.1,75.0,0.0,pangan,Padi
2019,24.1,75.0,0.0,pangan,Jagung
2019,25.3,73.0,0.0,pangan,Padi
2019,25.3,73.0,0.0,pangan,Jagung
2019,26.7,71.0,0.0,pangan,Padi
2019,26.7,71.0,0.0,pangan,Jagung
2019,27.3,75.0,51.0,pangan,Padi
2019,27.3,75.0,51.0,pangan,Jagung
2019,26.6,82.0,390.0,pangan,Padi
2019,26.6,82.0,390.0,pangan,Jagung
2020,26.6,82.0,250.5,pangan,Padi
2020,26.6,82.0,250.5,pangan,Jagung
2020,26.3,85.0,267.5,pangan,Padi
2020,26.3,85.0,267.5,pangan,Jagung
2020,26.1,86.0,350.6,pangan,Padi
2020,26.1,86.0,350.6,pangan,Jagung
2020,26.5,84.0,204.1,pangan,Padi
2020,26.5,84.0,204.1,pangan,Jagung
2020,26.2,84.0,742.6,pangan,Padi
2020,26.2,84.0,742.6,pangan,Jagung
2020,25.0,83.0,30.0,pangan,Padi
2020,25.0,83.0,30.0,pangan,Jagung
2020,24.2,82.0,8.1,pangan,Padi
2020,24.2,82.0,8.1,pangan,Jagung
2020,24.8,79.0,19.8,pangan,Padi
2020,24.8,79.0,19.8,pangan,Jagung
2020,24.8,80.0,19.8,pangan,Padi
2020,24.8,80.0,19.8,pangan,Jagung
2020,26.0,81.0,179.4,pangan,Padi
2020,26.0,81.0,179.4,pangan,Jagung
2020,26.3,84.0,247.7,pangan,Padi
2020,26.3,84.0,247.7,pangan,Jagung
2020,25.5,86.0,289.5,pangan,Padi
2020,25.5,86.0,289.5,pangan,Jagung
2021,25.3,88.0,373.0,pangan,Padi
2021,25.3,88.0,373.0,pangan,Jagung
2021,25.8,84.0,233.0,pangan,Padi
2021,25.8,84.0,233.0,pangan,Jagung
2021,25.7,85.0,348.0,pangan,Padi
2021,25.7,85.0,348.0,pangan,Jagung
2021,25.8,81.0,154.0,pangan,Padi
2021,25.8,81.0,154.0,pangan,Jagung
2021,26.1,81.0,54.0,pangan,Padi
2021,26.1,81.0,54.0,pangan,Jagung
2021,25.9,82.0,200.0,pangan,Padi
