year,temperature,humidity,rainfall,category,label,region
2020,24.2,74.0,277.2,pangan,Jagung,Mojokerto
2020,24.2,74.0,277.2,pangan,Kacang Hijau,Mojokerto
2020,24.2,74.0,277.2,pangan,Padi,Mojokerto
2020,24.2,74.0,277.2,pangan,Ubi Kayu,Mojokerto
2021,25.0,71.5,224.9,pangan,Jagung,Mojokerto
2021,25.0,71.5,224.9,pangan,Kacang Hijau,Mojokerto
2021,25.0,71.5,224.9,pangan,Padi,Mojokerto
2021,25.0,71.5,224.9,pangan,Ubi Kayu,Mojokerto
2022,27.6,71.6,195.1,pangan,Jagung,Mojokerto
2022,27.6,71.6,195.1,pangan,Kacang Hijau,Mojokerto
2022,27.6,71.6,195.1,pangan,Padi,Mojokerto
2022,27.6,71.6,195.1,pangan,Ubi Kayu,Mojokerto
2023,26.7,76.1,276.7,pangan,Kacang Hijau,Mojokerto
2023,26.7,76.1,276.7,pangan,Ubi Kayu,Mojokerto
